Model,AUC-ROC,Avg Precision,Sensitivity,Specificity
Gradient Boosting,0.9729,0.9908,0.9722,0.7885
Random Forest,0.9598,0.9852,0.9568,0.7596
Logistic Regression,0.9148,0.9671,0.9753,0.6538
